state,"Moderately
Burdened
Renter
Households","Severely
Burdened
Renter
Households"
Alabama,117138,142202
Alaska,16376,16197
Arizona,201846,219285
Arkansas,77026,88182
California,1488814,1733265
Colorado,178875,197954
Connecticut,108163,124586
Delaware,26361,26299
District of Columbia,31465,48266
Florida,681324,788578
Georgia,319285,334852
Hawaii,46106,52682
Idaho,40401,42831
Illinois,362278,436009
Indiana,169157,185973
Iowa,67707,78020
Kansas,81496,79179
Kentucky,110040,127062
Louisiana,133338,171825
Maine,36327,29439
Maryland,164273,186921
Massachusetts,219720,249995
Michigan,246422,292904
Minnesota,132682,134225
Mississippi,68101,83299
Missouri,170371,165847
Montana,24946,24594
Nebraska,50363,54406
Nevada,115408,116083
New Hampshire,33811,32163
New Jersey,264689,317805
New Mexico,50101,60893
New York,743448,973252
North Carolina,293670,322447
North Dakota,22837,22223
Ohio,322610,368014
Oklahoma,106615,108371
Oregon,145538,151352
Pennsylvania,309381,380068
Rhode Island,37996,43287
South Carolina,126045,141258
South Dakota,17149,24129
Tennessee,189694,204157
Texas,833893,841828
Utah,62667,56295
Vermont,16811,17213
Virginia,248025,255288
Washington,237814,236742
West Virginia,38691,44270
Wisconsin,160772,166223
Wyoming,12956,14434
